"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"702_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.955901 9.88209 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.986405 14.8943 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.985984 14.7939 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 15 "M" 0.933107 7.8068 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.927511 7.41294 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.893146 5.60016 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 18 "M" 0.968286 11.48 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 18 "M" 0.951834 9.44303 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 18 "M" 0.962667 10.7005 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 18 "M" 0.977816 13.0697 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.973483 12.2995 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.947367 8.99983 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.9576 10.0766 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.984935 14.5493 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.998 18.2678 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.954967 9.77808 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 21 "M" 0.955444 9.83094 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 22 "M" 0.960055 10.3704 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 22 "M" 0.899427 5.87076 0.0024 0.0024 -0.022 0.024 4e-04
