"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"343_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 32 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 32 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 33 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 33 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 34 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 35 "M" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 35 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 36 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 36 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 3 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 3 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 4 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 4 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 5 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 5 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 6 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 6 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 8 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 8 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 9 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"370_0.0004_0.0004_-0.022_0.024_0" 9 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 14 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 14 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 15 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 15 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 16 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 16 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 17 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 17 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 18 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 18 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 19 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 19 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 20 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"375_0.0004_0.0004_-0.022_0.024_0" 20 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 11 "F" 0.860708 4.48464 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 11 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 12 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 12 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 13 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
