"ID" "ageOfParent" "survivalProb" "expectedAgeAtDeath"
215 2 0.818731 3.50033
216 17 0.818731 3.50033
216 17 0.637628 1.53644
217 4 0.67032 1.75333
217 4 0.704688 2.02529
218 4 0.740818 2.37584
218 4 0.637628 1.53644
219 0 0.606531 1.35963
219 0 0.637628 1.53644
220 0 0.778801 2.84409
220 0 0.704688 2.02529
221 11 0.637628 1.53644
221 11 0.778801 2.84409
222 1 0.860708 4.48464
222 1 0.860708 4.48464
223 2 0.818731 3.50033
223 2 0.778801 2.84409
224 5 0.704688 2.02529
224 5 0.740818 2.37584
225 0 0.67032 1.75333
225 0 0.67032 1.75333
226 2 0.704688 2.02529
226 2 0.740818 2.37584
227 1 0.740818 2.37584
227 1 0.704688 2.02529
228 1 0.704688 2.02529
228 1 0.818731 3.50033
229 0 0.67032 1.75333
229 0 0.67032 1.75333
230 8 0.606531 1.35963
230 8 0.740818 2.37584
231 0 0.778801 2.84409
231 0 0.818731 3.50033
232 0 0.860708 4.48464
232 0 0.904837 6.12228
233 0 0.637628 1.53644
233 0 0.704688 2.02529
234 1 0.778801 2.84409
234 1 0.637628 1.53644
235 1 0.704688 2.02529
235 1 0.57695 1.21289
236 0 0.818731 3.50033
236 0 0.704688 2.02529
237 10 0.606531 1.35963
237 10 0.704688 2.02529
238 0 0.860708 4.48464
238 0 0.818731 3.50033
239 0 0.704688 2.02529
239 0 0.704688 2.02529
240 1 0.67032 1.75333
240 1 0.860708 4.48464
241 0 0.860708 4.48464
241 0 0.904837 6.12228
242 0 0.740818 2.37584
242 0 0.818731 3.50033
243 0 0.740818 2.37584
243 0 0.818731 3.50033
244 2 0.637628 1.53644
244 2 0.818731 3.50033
245 0 0.67032 1.75333
245 0 0.67032 1.75333
246 4 0.606531 1.35963
246 4 0.637628 1.53644
247 3 0.740818 2.37584
247 3 0.704688 2.02529
248 1 0.778801 2.84409
248 1 0.637628 1.53644
249 9 0.704688 2.02529
249 9 0.778801 2.84409
250 1 0.818731 3.50033
250 1 0.904837 6.12228
251 1 0.778801 2.84409
251 1 0.778801 2.84409
252 9 0.67032 1.75333
252 9 0.606531 1.35963
253 7 0.818731 3.50033
253 7 0.637628 1.53644
254 2 0.860708 4.48464
254 2 0.818731 3.50033
255 2 0.818731 3.50033
255 2 0.778801 2.84409
256 1 0.704688 2.02529
256 1 0.818731 3.50033
257 2 1 19
257 2 0.818731 3.50033
258 4 0.818731 3.50033
258 4 0.704688 2.02529
259 8 0.740818 2.37584
259 8 0.704688 2.02529
260 2 0.606531 1.35963
260 2 0.704688 2.02529
261 5 0.740818 2.37584
261 5 0.740818 2.37584
262 10 0.637628 1.53644
262 10 0.778801 2.84409
263 0 0.704688 2.02529
263 0 0.818731 3.50033
264 2 0.740818 2.37584
264 2 0.740818 2.37584
265 6 0.904837 6.12228
265 6 0.778801 2.84409
266 2 0.818731 3.50033
266 2 0.778801 2.84409
267 2 0.740818 2.37584
267 2 0.67032 1.75333
268 0 0.704688 2.02529
268 0 0.951229 9.38076
269 3 0.818731 3.50033
269 3 0.67032 1.75333
270 3 0.740818 2.37584
270 3 0.740818 2.37584
270 3 0.740818 2.37584
270 3 0.67032 1.75333
270 3 0.740818 2.37584
270 4 0.778801 2.84409
270 4 0.67032 1.75333
270 4 0.704688 2.02529
270 4 0.740818 2.37584
271 21 0.740818 2.37584
271 21 0.606531 1.35963
271 21 0.778801 2.84409
271 21 0.904837 6.12228
272 1 0.704688 2.02529
272 2 0.67032 1.75333
273 4 0.740818 2.37584
273 4 0.860708 4.48464
273 5 0.904837 6.12228
274 4 0.818731 3.50033
274 4 0.778801 2.84409
274 4 0.818731 3.50033
274 5 0.778801 2.84409
275 1 0.740818 2.37584
275 1 0.778801 2.84409
275 1 0.704688 2.02529
275 2 0.67032 1.75333
276 2 0.818731 3.50033
276 2 0.740818 2.37584
276 2 0.818731 3.50033
276 3 0.778801 2.84409
277 0 0.637628 1.53644
277 1 0.860708 4.48464
277 1 0.740818 2.37584
278 8 0.951229 9.38076
278 8 0.778801 2.84409
278 9 0.740818 2.37584
278 9 0.818731 3.50033
278 9 0.778801 2.84409
278 9 0.740818 2.37584
279 1 0.860708 4.48464
279 1 0.860708 4.48464
280 0 0.818731 3.50033
280 0 0.704688 2.02529
280 1 0.704688 2.02529
281 3 0.740818 2.37584
281 4 0.860708 4.48464
281 4 0.704688 2.02529
282 2 0.778801 2.84409
282 3 0.67032 1.75333
283 1 0.860708 4.48464
283 2 0.778801 2.84409
283 2 0.778801 2.84409
284 1 0.818731 3.50033
284 2 0.818731 3.50033
284 2 0.740818 2.37584
284 2 0.778801 2.84409
285 0 0.57695 1.21289
285 1 0.67032 1.75333
286 2 0.637628 1.53644
286 3 0.548812 1.0893
286 3 0.818731 3.50033
288 0 0.704688 2.02529
288 1 0.740818 2.37584
288 1 0.704688 2.02529
288 1 0.740818 2.37584
288 1 0.778801 2.84409
288 1 0.606531 1.35963
289 8 0.740818 2.37584
289 9 0.606531 1.35963
290 2 0.548812 1.0893
290 2 0.740818 2.37584
290 2 0.704688 2.02529
290 2 0.67032 1.75333
290 3 0.522046 0.983905
290 3 0.637628 1.53644
290 3 0.637628 1.53644
290 3 0.637628 1.53644
291 3 0.740818 2.37584
291 3 0.860708 4.48464
291 4 0.67032 1.75333
291 4 0.740818 2.37584
291 4 0.67032 1.75333
291 4 0.778801 2.84409
292 2 0.704688 2.02529
292 3 0.606531 1.35963
292 3 0.740818 2.37584
292 3 0.740818 2.37584
293 1 0.704688 2.02529
293 1 0.704688 2.02529
293 1 0.637628 1.53644
293 2 0.778801 2.84409
293 2 0.778801 2.84409
293 2 0.740818 2.37584
293 2 0.778801 2.84409
293 2 0.778801 2.84409
294 0 0.740818 2.37584
294 1 0.67032 1.75333
295 0 0.818731 3.50033
295 0 0.704688 2.02529
295 1 0.778801 2.84409
296 1 0.67032 1.75333
296 2 0.818731 3.50033
296 2 0.704688 2.02529
296 2 0.637628 1.53644
296 2 0.704688 2.02529
296 2 0.637628 1.53644
297 3 0.778801 2.84409
297 3 0.704688 2.02529
297 4 0.637628 1.53644
297 4 0.704688 2.02529
297 4 0.818731 3.50033
298 1 0.67032 1.75333
298 2 0.740818 2.37584
298 2 0.860708 4.48464
298 2 0.704688 2.02529
299 3 0.778801 2.84409
299 4 0.818731 3.50033
299 4 0.67032 1.75333
299 4 0.778801 2.84409
299 4 0.740818 2.37584
300 5 0.818731 3.50033
300 5 0.818731 3.50033
300 6 0.860708 4.48464
300 6 0.818731 3.50033
300 6 0.704688 2.02529
300 6 0.778801 2.84409
301 32 0.67032 1.75333
301 32 0.637628 1.53644
301 33 0.637628 1.53644
302 1 0.704688 2.02529
302 1 0.740818 2.37584
302 1 0.818731 3.50033
302 2 0.704688 2.02529
303 1 0.637628 1.53644
303 1 0.57695 1.21289
304 2 0.67032 1.75333
304 2 0.778801 2.84409
304 2 0.740818 2.37584
304 2 0.778801 2.84409
304 3 0.818731 3.50033
305 4 0.778801 2.84409
305 4 0.904837 6.12228
